id,titulo,autor,saga,orden_saga,genero,editorial,formato,edicion_especial,detalles_edicion,valoracion_personal,resena_personal,estado,paginas_total,paginas_leidas,fecha_inicio,fecha_fin,tiempo_lectura_min,cita_favorita,etiquetas,imagen_portada_url
LIB0109,La Novia Gitana,Carmen Mola,Elena Blanco,1.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0110,La Red Púrpura,Carmen Mola,Elena Blanco,2.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0111,La Nena,Carmen Mola,Elena Blanco,3.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0112,Las Madres,Carmen Mola,Elena Blanco,4.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0113,La Bestia,Carmen Mola,,,Histórica,,Tapa blanda,1,Tapa blanda,,,Leído,0,0,,,0,,,
LIB0114,El Infierno,Carmen Mola,,,Histórica,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0115,El guardián invisible,Dolores Redondo,Baztán,1.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0116,Legado en los huesos,Dolores Redondo,Baztán,2.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0117,Ofrenda a la tormenta,Dolores Redondo,Baztán,3.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0118,La cara norte del corazón,Dolores Redondo,Baztán,0.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0119,Todo esto te daré,Dolores Redondo,,,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0120,Esperando al diluvio,Dolores Redondo,,,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0121,El silencio de la ciudad blanca,Eva G. Sáenz,Kraken,1.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0122,Los ritos del agua,Eva G. Sáenz,Kraken,2.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0123,Los señores del tiempo,Eva G. Sáenz,Kraken,3.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0124,El libro negro de las horas,Eva G. Sáenz,Kraken,4.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0125,El ángel de la ciudad,Eva G. Sáenz,Kraken,5.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0126,Aquitania,Eva G. Sáenz,,,Histórica,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=qTcEEAAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0127,El día que se perdió la cordura,Javier Castillo,Cordura,1.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0128,El día que se perdió el amor,Javier Castillo,Cordura,2.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0129,Todo lo que sucedió con Miranda Huff,Javier Castillo,,,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0130,La chica de nieve,Javier Castillo,Miren Triggs,1.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0131,El juego del alma,Javier Castillo,Miren Triggs,2.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0132,El cuco de cristal,Javier Castillo,,,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0133,La grieta del silencio,Javier Castillo,Miren Triggs,3.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0134,Misery,Stephen King,,,Terror,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0135,It (Eso),Stephen King,,,Terror,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0136,El Resplandor,Stephen King,,,Terror,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0137,Holly,Stephen King,Gibney,3.0,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0138,Fairy Tale,Stephen King,,,Fantasía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0139,Billy Summers,Stephen King,,,Thriller,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=H187EAAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0140,Harry Potter y la Piedra Filosofal,J.K. Rowling,Harry Potter,1.0,Fantasía,,MinaLima Ilustrado,1,MinaLima Ilustrado,,,Leído,0,0,,,0,,,
LIB0141,Harry Potter y la Cámara Secreta,J.K. Rowling,Harry Potter,2.0,Fantasía,,MinaLima Ilustrado,1,MinaLima Ilustrado,,,Leído,0,0,,,0,,,
LIB0142,Harry Potter y el Prisionero de Azkaban,J.K. Rowling,Harry Potter,3.0,Fantasía,,MinaLima Ilustrado,1,MinaLima Ilustrado,,,Leído,0,0,,,0,,,
LIB0143,Orgullo y Prejuicio,Jane Austen,,,Clásico,,Austral Singular,1,Austral Singular,,,Leído,0,0,,,0,,,
LIB0144,Cumbres Borrascosas,Emily Brontë,,,Clásico,,Austral Singular,1,Austral Singular,,,Leído,0,0,,,0,,,
LIB0145,Jane Eyre,Charlotte Brontë,,,Clásico,,Austral Singular,1,Austral Singular,,,Leído,0,0,,,0,,,
LIB0146,Mujercitas,Louisa May Alcott,,,Clásico,,Austral Singular,1,Austral Singular,,,Leído,0,0,,,0,,,
LIB0147,Persuasión,Jane Austen,,,Clásico,,Austral Singular,1,Austral Singular,,,Leído,0,0,,,0,,,
LIB0148,Roma soy yo,Santiago Posteguillo,Julio César,1.0,Histórica,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0149,Maldita Roma,Santiago Posteguillo,Julio César,2.0,Histórica,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0150,"Yo, Julia",Santiago Posteguillo,,,Histórica,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0151,Patria,Fernando Aramburu,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0152,Los vencejos,Fernando Aramburu,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0153,El infinito en un junco,Irene Vallejo,,,Ensayo,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0154,1984,George Orwell,,,Distopía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=uFI8Kmx3a0oC&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0155,Rebelión en la granja,George Orwell,,,Distopía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0156,El nombre de la rosa,Umberto Eco,,,Misterio,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0157,La sombra del viento,Carlos Ruiz Zafón,Cementerio de los Libros,1.0,Misterio,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0158,El juego del ángel,Carlos Ruiz Zafón,Cementerio de los Libros,2.0,Misterio,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0159,El prisionero del cielo,Carlos Ruiz Zafón,Cementerio de los Libros,3.0,Misterio,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0160,El laberinto de los espíritus,Carlos Ruiz Zafón,Cementerio de los Libros,4.0,Misterio,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0161,La ciudad de vapor,Carlos Ruiz Zafón,,,Relatos,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0162,Asesinato en el Orient Express,Agatha Christie,Poirot,1.0,Misterio,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=A2HcEAAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0163,Diez negritos,Agatha Christie,,,Misterio,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0164,El sutil arte de que casi todo te importe una mierda,Mark Manson,,,Autoayuda,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0165,Hábitos atómicos,James Clear,,,Autoayuda,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0166,Cómo hacer que te pasen cosas buenas,Marian Rojas Estapé,,,Autoayuda,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0167,Encuentra tu persona vitamina,Marian Rojas Estapé,,,Autoayuda,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0168,Violeta,Isabel Allende,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0169,La casa de los espíritus,Isabel Allende,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0170,El tiempo entre costuras,María Dueñas,,,Histórica,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0171,Sira,María Dueñas,,,Histórica,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0172,Invisible,Eloy Moreno,,,Juvenil,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0173,Diferente,Eloy Moreno,,,Juvenil,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0174,Cuando era divertido,Eloy Moreno,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0175,L'art de la prudència,Baltasar Gracián,,,Filosofía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0176,Cuaderno de actividades para adultos,Blackie Books,,,Entretenimiento,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0177,Cocinología,Dr. Stuart Farrimond,,,Gastronomía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0178,Guía de aves de España,Varios,,,Naturaleza,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0179,Diario de una volátil,Agustina Guerrero,,,Ilustrado,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0180,Morder la manzana,Leticia Dolera,,,Divulgación,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0181,Feminismo para principiantes,Nuria Varela,,,Divulgación,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0182,Cuento de Navidad,Charles Dickens,,,Clásico,,Especial,1,Especial,,,Leído,0,0,,,0,,,
LIB0183,El Principito,Saint-Exupéry,,,Clásico,,Pop-up,1,Pop-up,,,Leído,0,0,,,0,,,
LIB0184,El paciente paciente,Varios,,,Varios,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
